"","date","log_mean_total_copies","seven_day_front","seven_day_mid","seven_day_back"
"1",2020-06-30,14.4001267385798,99,198,248
"2",2020-07-07,13.3217155330874,248,236,239
"3",2020-07-14,12.9864726796862,239,243,278
"4",2020-07-21,14.1450709724505,278,256,220
"5",2020-07-28,13.0146891775882,220,269,266
"6",2020-08-04,11.1675837890963,266,303,340
"7",2020-08-11,13.0427661894358,340,241,183
"8",2020-08-18,13.3136447147839,183,213,247
"9",2020-08-25,13.4774369043089,247,315,405
"10",2020-09-01,14.5083849970681,405,673,872
"11",2020-09-08,13.951517538055,872,904,752
"12",2020-09-15,14.5699837772563,752,507,350
"13",2020-09-22,13.2137913713394,350,176,145
"14",2020-09-29,14.1232605126372,145,148,167
"15",2020-10-06,11.5219114687542,167,162,173
"16",2020-10-13,13.0314229664683,173,210,176
"17",2020-10-20,13.4752091591998,176,139,157
"18",2020-10-27,13.0247170240486,157,153,169
